|bandpass_frequency|      bandpass_weights|
|            double|                double|
|               GHz|                      |
|              null|                  null|
 11.681925436526663 3.0339885859300275e-49 
 11.705285512033978  4.242323306079941e-49 
 11.728645587541294 5.9286606380463056e-49 
 11.752005663048608  8.280802541893209e-49 
 11.775365738555923  1.155982540229115e-48 
 11.798725814063237  1.612846844420762e-48 
 11.822085889570552 2.2490442047831086e-48 
 11.845445965077866  3.134482595572366e-48 
  11.86880604058518 4.3661308030113133e-48 
 11.892166116092497  6.078418955664611e-48 
 11.915526191599811  8.457607512495602e-48 
 11.938886267107126 1.1761627811772475e-47 
  11.96224634261444  1.634746235595818e-47 
 11.985606418121755 2.2708908899651876e-47 
 12.008966493629071 3.1528637166400975e-47 
 12.032326569136385  4.374990735918201e-47 
   12.0556866446437  6.067532137353178e-47 
 12.079046720151014  8.410271992800262e-47 
 12.102406795658329 1.1651209352898286e-46 
 12.125766871165645 1.6132251310861583e-46 
  12.14912694667296 2.2324511287957195e-46 
 12.172487022180274  3.087677623053946e-46 
 12.195847097687588  4.268201841768955e-46 
 12.219207173194903  5.896861883468462e-46 
 12.242567248702219   8.14254132331989e-46 
 12.265927324209532 1.1237300515519408e-45 
 12.289287399716848  1.549983330924665e-45 
 12.312647475224162 2.1367566711628117e-45 
 12.336007550731477  2.944056347837616e-45 
 12.359367626238791  4.054153385278066e-45 
 12.382727701746106 5.5797821365720717e-45 
 12.406087777253422  7.675334595518938e-45 
 12.429447852760736  1.055213649640595e-44 
  12.45280792826805 1.4499281851193048e-44 
 12.476168003775365 1.9912032501828097e-44 
  12.49952807928268 2.7330507821014894e-44 
 12.522888154789996 3.7492363462430407e-44 
  12.54624823029731  5.140447693110301e-44 
 12.569608305804625  7.044044299837854e-44 
  12.59296838131194  9.647309716560563e-44 
 12.616328456819254 1.3205455088590404e-43 
  12.63968853232657  1.806606349359328e-43 
 12.663048607833884  2.470226067813611e-43 
 12.686408683341199 3.3757702157908254e-43 
 12.709768758848513  4.610755173991493e-43 
 12.733128834355828 6.2941089458834865e-43 
