|bandpass_frequency|       bandpass_weights|
|            double|                 double|
|               GHz|                       |
|              null|                   null|
 181.10309489649518   8.084643673782293e-27 
  181.1184156589465   9.421891246353589e-27 
 181.13373642139783  1.0977751993707555e-26 
 181.14905718384915  1.2787535967036387e-26 
 181.16437794630048  1.4892185838553133e-26 
  181.1796987087518  1.7339163920588076e-26 
 181.19501947120312   2.018347702353472e-26 
 181.21034023365445   2.348886027860086e-26 
 181.22566099610577  2.7329144243169793e-26 
 181.24098175855707  3.1789833273483845e-26 
  181.2563025210084   3.696992736111549e-26 
 181.27162328345972  4.2984024465601215e-26 
 181.28694404591104  4.9964745927514535e-26 
 181.30226480836237   5.806553391741423e-26 
  181.3175855708137   6.746387718656228e-26 
 181.33290633326502   7.836502977071695e-26 
 181.34822709571634   9.100629691449957e-26 
 181.36354785816766  1.0566197350851085e-25 
   181.378868620619  1.2264903296767273e-25 
  181.3941893830703   1.423336789588406e-25 
 181.40951014552164   1.651388889732845e-25 
 181.42483090797293   1.915530977371778e-25 
 181.44015167042426  2.2214019020529283e-25 
 181.45547243287558   2.575509987812859e-25 
  181.4707931953269   2.985365279039426e-25 
 181.48611395777823  3.4596316173723496e-25 
 181.50143472022955   4.008301479910093e-25 
 181.51675548268088   4.642896935376099e-25 
  181.5320762451322   5.376700562340655e-25 
 181.54739700758353   6.225020730703356e-25 
 181.56271777003485   7.205496284183494e-25 
 181.57803853248618   8.338446388709729e-25 
  181.5933592949375   9.647272141983668e-25 
  181.6086800573888  1.1158917487568943e-24 
 181.62400081984012  1.2904398059018037e-24 
 181.63932158229144   1.491940781432892e-24 
 181.65464234474277   1.724501472986313e-24 
  181.6699631071941  1.9928458429459793e-24 
 181.68528386964542   2.302406445648768e-24 
 181.70060463209674   2.659429198492405e-24 
 181.71592539454807   3.071093414539165e-24 
  181.7312461569994   3.545649285362681e-24 
 181.74656691945071  4.0925753117239676e-24 
 181.76188768190204    4.72275853136025e-24 
 181.77720844435336  5.4487007935403384e-24 
 181.79252920680466   6.284754785722967e-24 
 181.80784996925598   7.247394036155372e-24 
